400, 126,
70, 260,
136, 164,
1984, 4,
2138, 1,
664, 166,
994, 116,
598, 172,
1434, 38,
1170, 86,
928, 116,
1588, 33,
576, 163,
642, 162,
2028, 2,
906, 129,
1038, 101,
950, 96,
1368, 73,
1786, 13,
1456, 41,
1962, 2,
92, 239,
488, 174,
1214, 84,
554, 193,
1610, 31,
246, 123,
686, 147,
2072, 1,
2182, 1,
202, 117,
1566, 26,
1060, 104,
1852, 4,
1676, 15,
1808, 9,
466, 145,
312, 113,
774, 138,
158, 142,
356, 139,
422, 167,
224, 109,
532, 167,
1280, 78,
444, 162,
730, 144,
334, 142,
1192, 96,
26, 1221,
2094, 1,
1940, 2,
2050, 1,
1698, 13,
1478, 25,
1104, 85,
1346, 59,
884, 141,
1302, 64,
1500, 42,
48, 421,
378, 143,
972, 128,
1148, 83,
1016, 90,
1896, 6,
1258, 77,
1720, 18,
1522, 23,
1874, 5,
796, 147,
1830, 8,
268, 96,
708, 165,
1918, 7,
1412, 46,
180, 135,
1082, 88,
1742, 17,
114, 199,
818, 144,
1324, 77,
1126, 88,
510, 161,
290, 112,
1632, 20,
752, 149,
1654, 15,
862, 122,
1390, 46,
1544, 30,
2160, 2,
620, 163,
1764, 13,
840, 133,
1236, 94,
